"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
0,5000,0,0,0,0,0,0,0,0
0,0,0,5000,0,0,0,0,0,0
675,621,228,100,29,96,701,667,1776,107
2553,0,0,0,0,2444,2,0,1,0
4,0,0,0,0,0,4996,0,0,0
0,2,0,6,0,0,0,2,0,4990
0,0,0,0,0,0,0,0,0,5000
4999,0,0,0,0,0,0,0,1,0
0,0,0,4904,0,0,0,0,96,0
4999,0,0,0,0,1,0,0,0,0
0,1,0,0,0,0,0,0,0,4999
0,0,0,5000,0,0,0,0,0,0
0,5000,0,0,0,0,0,0,0,0
0,600,0,4397,0,1,0,0,0,2
0,2870,0,1064,1066,0,0,0,0,0
0,0,0,0,0,0,0,5000,0,0
186,25,3277,63,26,21,168,48,1131,55
71,0,1,14,2,0,2,4908,0,2
0,0,5000,0,0,0,0,0,0,0
0,0,0,0,0,0,5000,0,0,0
0,0,0,0,0,5000,0,0,0,0
0,4988,5,0,0,0,0,0,0,7
0,0,0,0,0,0,0,4999,0,1
0,0,0,0,0,0,0,5000,0,0
0,0,0,0,0,0,0,0,5000,0
11,3517,1,1335,68,7,1,60,0,0
0,0,0,0,0,0,0,5000,0,0
0,0,0,0,0,0,0,91,4909,0
1,23,0,0,2,4972,0,0,2,0
1281,0,3719,0,0,0,0,0,0,0
