"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
0,0,0,0,0,0,5000,0,0,0
0,0,0,0,0,4,0,4996,0,0
0,0,0,4402,0,593,1,0,4,0
4894,0,0,0,0,0,0,0,0,106
4985,14,0,0,0,0,0,1,0,0
0,1,1,0,0,4998,0,0,0,0
0,4,1,170,2,1329,7,19,3464,4
0,0,0,0,0,0,0,0,0,5000
0,0,0,0,5000,0,0,0,0,0
0,0,0,0,0,0,0,7,4993,0
0,0,0,0,0,0,0,0,5000,0
0,0,0,0,0,0,1,7,0,4992
5000,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,5000,0,0
0,0,0,0,0,0,5000,0,0,0
0,0,0,0,0,0,5000,0,0,0
1,1928,1981,6,6,84,295,694,1,4
0,5000,0,0,0,0,0,0,0,0
0,5000,0,0,0,0,0,0,0,0
0,0,0,0,0,5000,0,0,0,0
0,0,0,0,4998,0,0,0,0,2
5000,0,0,0,0,0,0,0,0,0
0,2,1156,8,402,1,2913,132,1,385
0,5000,0,0,0,0,0,0,0,0
0,5000,0,0,0,0,0,0,0,0
0,0,16,1,0,0,4982,1,0,0
0,0,0,0,0,5000,0,0,0,0
0,0,0,0,0,0,0,5000,0,0
0,0,0,0,0,0,0,0,5000,0
0,0,0,0,0,0,0,5000,0,0
