"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
0,0,0,0,0,0,0,0,0,5000
487,464,561,510,492,483,508,466,502,527
0,0,0,0,1,0,0,0,4999,0
0,5000,0,0,0,0,0,0,0,0
0,5000,0,0,0,0,0,0,0,0
85,231,72,74,72,87,58,79,4151,91
1,4992,1,0,1,2,1,2,0,0
4745,0,0,0,0,0,0,255,0,0
0,0,0,0,0,0,5000,0,0,0
0,0,0,0,0,0,0,0,0,5000
312,312,289,317,318,327,287,290,2273,275
0,0,5000,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,5000
625,0,0,0,0,0,0,0,4375,0
500,496,489,535,491,512,485,507,512,473
0,0,0,0,0,5000,0,0,0,0
0,0,0,0,0,0,5000,0,0,0
0,0,0,5000,0,0,0,0,0,0
40,38,33,30,25,30,34,34,4696,40
0,5000,0,0,0,0,0,0,0,0
0,0,1349,0,0,0,0,3651,0,0
5000,0,0,0,0,0,0,0,0,0
0,11,0,102,0,0,0,0,0,4887
1,0,0,0,0,608,4381,8,1,1
723,1,2049,1,1,12,5,1952,256,0
0,0,0,5000,0,0,0,0,0,0
0,5000,0,0,0,0,0,0,0,0
0,0,0,0,0,5000,0,0,0,0
0,0,78,0,0,0,0,4922,0,0
4957,0,0,0,0,0,10,33,0,0
