"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
5,158,1196,9,47,6,3344,159,3,73
997,12,18,1,16,954,8,19,373,2602
16,71,37,24,9,4776,29,16,10,12
1462,86,68,59,518,555,79,526,1477,170
1,12,215,216,83,4461,3,3,1,5
5,4,3304,150,155,24,18,76,32,1232
4689,228,11,11,0,1,4,40,5,11
3252,28,21,19,11,5,183,1262,161,58
3,2,5,293,1965,5,4,736,92,1895
256,50,16,36,2126,300,102,2093,9,12
1259,62,11,32,10,3499,36,74,12,5
31,2048,18,99,15,4,6,2021,11,747
3781,3,514,0,1,2,7,12,515,165
63,156,57,445,406,66,58,467,3131,151
49,927,45,53,117,864,349,111,2375,110
6,8,6,4955,4,3,5,3,4,6
16,8,20,3788,58,483,10,72,60,485
1337,14,30,1,4,1,6,9,3594,4
4,3628,1294,11,21,12,19,3,3,5
0,4891,4,1,3,3,14,84,0,0
1617,81,596,79,204,225,211,219,222,1546
3,188,3397,8,16,29,66,33,68,1192
86,6,5,11,4241,1,73,3,574,0
30,87,4456,78,224,25,20,33,22,25
0,627,1,4,4361,2,1,1,3,0
3549,0,15,1288,5,3,7,64,62,7
4,74,10,62,1465,1576,190,49,27,1543
55,131,44,376,115,64,973,376,2729,137
4,1791,28,9,639,13,650,1849,14,3
1,1,2450,21,2396,6,112,4,7,2
