,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10
0,0,0,0,0,0,0,1,0,0,0
1,1,1,1,1,1,1,1,0,1,1
2,0,0,0,0,0,1,0,0,0,0
3,0,0,0,1,0,1,0,0,0,0
4,0,1,1,1,1,1,1,1,1,0
5,0,1,1,1,1,0,0,1,1,1
6,0,0,0,0,0,0,0,0,1,1
7,0,1,1,1,1,1,0,0,1,1
8,1,0,0,0,0,0,0,0,0,0
9,0,1,0,0,0,0,0,0,0,0
10,1,1,1,1,1,1,1,1,1,1
11,0,0,0,0,0,1,1,0,0,0
12,1,1,0,0,1,0,0,0,1,0
13,1,0,0,1,1,0,0,0,0,1
14,0,0,0,0,0,0,1,0,0,0
15,0,0,0,1,1,0,0,0,0,1
16,1,1,1,1,1,0,0,0,1,1
17,1,1,0,1,1,1,1,0,0,1
18,0,0,0,1,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,1,0
20,0,0,0,0,1,0,0,0,0,0
21,0,0,0,0,0,0,0,0,1,0
22,0,0,0,0,0,1,0,0,0,0
23,0,0,1,0,0,1,1,1,1,0
24,0,0,1,0,0,0,0,0,1,0
25,0,0,0,0,1,0,0,0,1,0
26,0,1,1,1,1,0,0,1,1,0
27,0,0,0,0,1,0,0,0,0,0
28,0,0,0,0,1,0,0,0,0,0
29,1,1,1,1,1,1,1,1,1,1
