"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
5000,0,0,0,0,0,0,0,0,0
0,0,4762,0,0,0,0,0,0,238
0,0,0,2490,0,9,43,0,2454,4
0,0,0,0,0,0,4990,10,0,0
0,0,0,0,0,5000,0,0,0,0
0,0,0,5000,0,0,0,0,0,0
0,0,0,5000,0,0,0,0,0,0
0,0,0,609,4377,0,0,2,0,12
5000,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,12,4988
0,0,0,0,0,0,0,0,5000,0
16,0,0,0,0,0,0,0,4984,0
0,0,0,0,0,0,0,0,5000,0
5000,0,0,0,0,0,0,0,0,0
0,0,5000,0,0,0,0,0,0,0
12,0,0,0,0,0,4979,3,0,6
5000,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,5000,0
0,0,0,0,0,0,0,0,5000,0
0,0,0,0,0,0,0,5000,0,0
0,0,0,0,4393,0,0,607,0,0
0,0,0,5000,0,0,0,0,0,0
236,218,1,2,1,9,7,4525,0,1
0,0,0,0,106,4894,0,0,0,0
0,0,0,0,0,0,5000,0,0,0
0,0,0,0,0,0,0,5000,0,0
2890,1033,0,0,0,0,0,0,1077,0
0,0,0,0,0,5000,0,0,0,0
0,0,0,0,0,0,5000,0,0,0
0,0,0,0,0,0,0,0,5000,0
