"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
0,0,0,5000,0,0,0,0,0,0
1,7,0,4288,7,9,594,5,25,64
3636,0,5,0,0,0,0,1358,1,0
9,4,8,11,63,257,6,47,20,4575
0,0,0,0,4904,96,0,0,0,0
4995,0,0,0,0,0,5,0,0,0
0,1308,0,0,0,3,0,0,0,3689
0,314,0,2304,0,0,0,0,0,2382
0,0,0,0,2,0,0,0,4771,227
4986,0,0,0,0,0,14,0,0,0
4991,0,0,0,9,0,0,0,0,0
0,0,0,0,4999,0,0,0,1,0
6,0,0,0,0,0,4994,0,0,0
0,5,58,0,2,2516,0,0,1,2418
1,0,0,1,0,0,5,4993,0,0
0,0,0,0,4397,5,0,1,0,597
0,0,0,41,0,0,0,0,4959,0
0,5000,0,0,0,0,0,0,0,0
0,0,0,2532,0,2468,0,0,0,0
0,0,0,5000,0,0,0,0,0,0
0,0,4998,2,0,0,0,0,0,0
0,0,5000,0,0,0,0,0,0,0
4865,0,0,100,0,34,1,0,0,0
1320,0,0,0,0,0,0,0,3680,0
0,0,0,0,0,0,5000,0,0,0
0,0,0,0,0,5000,0,0,0,0
0,0,0,1,0,0,5,6,4988,0
669,1781,225,632,694,85,99,41,82,692
0,0,0,5000,0,0,0,0,0,0
0,216,0,31,0,4738,2,0,13,0
