"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
5,2,8,87,1246,9,4,0,2,1305,14,0,1,1,1,12,57,3,191,2,3,15,1278,3,2,2,7,3,56,0,0,6,163,12,5,64,0,56,3,1,2,155,1,26,150,4,10,4,19,0
1,0,0,0,1,1,1491,0,0,1,0,0,0,171,0,0,1479,3,0,1,1455,2,75,1,0,1,0,0,0,0,1,2,1,0,2,0,0,0,3,211,0,2,2,17,64,0,0,1,1,10
2,48,1,49,1,123,1,0,0,0,2311,0,0,0,0,0,111,841,2,0,0,5,0,1,1,1,0,6,823,1,0,2,118,2,1,4,0,333,0,108,0,3,43,4,0,0,2,1,51,0
25,1,2,0,1,17,61,2,1,26,0,0,0,193,0,0,61,2,7,0,0,33,1,0,0,3,194,158,11,0,0,0,2,142,1,3,0,180,1,1,2,9,58,0,23,3,457,0,3319,0
0,0,1,0,409,22,1,450,0,3,52,0,0,0,1102,2,14,0,3,0,158,2,1214,0,0,3,47,4,1,0,0,1,4,0,20,0,0,0,0,417,433,54,4,0,420,0,157,1,1,0
6,22,4,2,263,0,13,1786,1,0,4,1,0,249,1,2,0,3,0,0,0,1,0,3,0,14,2,1,0,1,0,1,0,2,1,1,0,0,1,0,0,1,3,696,1,2,0,1880,1,31
3,1,2,0,2,0,0,709,3,2,294,95,0,3,9,1,270,3,291,0,1,11,35,0,0,3,0,4,90,1,712,1,3,0,3,1,1,1,1,100,110,0,4,5,5,46,1895,0,263,16
11,103,1,0,0,2,314,0,0,0,0,1,0,1,0,1,0,951,0,0,109,0,1,0,0,2419,0,0,901,0,5,0,0,0,1,0,0,0,10,0,1,0,1,2,128,0,15,3,1,18
0,34,688,4,12,7,0,0,1,0,0,0,1,48,3,0,10,1,3,0,3,715,0,0,0,26,2,1,0,0,0,711,0,1970,11,729,1,1,9,0,2,0,0,0,0,1,4,1,0,1
28,1,2,106,15,1,0,1,0,0,2,1,0,0,0,2016,0,0,0,0,1,266,0,0,0,3,13,38,0,0,2,256,13,0,1,0,0,4,1,0,0,5,0,0,0,1951,0,2,271,0
620,1,0,1,24,567,1,1,0,0,38,1,0,4,0,0,199,0,0,0,0,5,0,1,1,8,0,1,0,0,0,24,583,0,197,607,0,1,21,0,3,0,1,1,1524,2,5,6,552,0
0,4,1,6,61,0,1,2,0,80,3,1,0,0,2,1,1,26,10,0,165,4,0,0,1,30,76,3,0,0,549,0,15,0,6,16,0,1,0,1426,0,8,511,1,0,541,1440,1,1,6
