"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
1123,55,419,1182,61,418,415,54,1112,161
7,19,2709,12,24,62,1001,1002,45,119
1480,1582,204,70,202,78,83,575,525,201
447,1151,3194,9,14,8,9,70,49,49
1,10,0,1,2534,3,1,1,2449,0
1,1131,1,448,5,26,75,3257,1,55
3487,0,10,6,10,17,1270,27,5,168
532,3900,12,6,3,528,3,10,5,1
2,4,1,0,0,2,4774,211,0,6
29,68,207,95,214,7,13,182,11,4174
15,6,91,79,1,4547,2,222,11,26
8,9,56,2415,16,14,23,2436,7,16
3,160,2,0,3126,402,167,6,13,1121
417,55,425,64,66,177,172,466,61,3097
3,11,15,4,6,4771,7,88,9,86
95,237,4598,1,2,11,12,29,4,11
1203,2,498,6,4,3224,2,1,58,2
19,67,3018,54,18,45,1159,136,429,55
127,932,132,36,51,841,363,2429,50,39
86,604,209,567,1545,80,57,77,1565,210
737,102,33,747,280,2037,11,270,746,37
5,8,8,3453,2,160,11,1281,8,64
27,20,1423,1414,91,7,11,26,528,1453
0,2642,44,1003,3,3,0,973,3,329
1234,3,2,1,1,1,433,3315,6,4
6,1544,209,80,13,9,1589,10,1531,9
11,4360,6,4,596,1,0,10,2,10
134,63,26,389,160,54,1056,19,139,2960
14,15,562,65,10,26,7,4263,32,6
23,92,1,6,1,0,4,17,4761,95
