"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
0,0,0,0,0,0,5000,0,0,0
0,0,0,0,0,0,0,5000,0,0
0,0,31,0,1,0,1,4713,5,249
0,0,0,0,0,5000,0,0,0,0
0,0,0,0,0,0,0,2517,2483,0
0,0,4916,0,1,0,83,0,0,0
0,0,0,0,0,0,0,0,0,5000
0,0,0,0,0,0,0,5000,0,0
3674,0,0,0,0,0,0,0,1326,0
0,0,0,0,0,0,0,0,5000,0
0,4760,0,240,0,0,0,0,0,0
0,0,0,0,0,0,0,0,5000,0
0,0,5000,0,0,0,0,0,0,0
0,5000,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,5000,0
4,0,0,0,80,0,0,0,0,4916
0,0,0,5000,0,0,0,0,0,0
0,0,1380,0,48,0,21,0,3551,0
0,0,0,0,0,5000,0,0,0,0
5000,0,0,0,0,0,0,0,0,0
0,7,2364,0,1,290,0,0,0,2338
0,0,0,0,0,0,5000,0,0,0
0,0,0,0,0,0,0,5000,0,0
554,0,0,4237,0,0,0,0,0,209
0,0,5000,0,0,0,0,0,0,0
0,0,4994,3,0,2,0,1,0,0
0,0,0,0,0,0,0,0,5000,0
5000,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,5000,0,0,0
1,0,32,5,3553,4,0,1390,12,3
