"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
0,0,1,0,1,0,0,0,89,290,95,0,3,1,2,5,0,0,261,727,703,1,0,0,1,0,0,2,3,0,100,6,0,2,0,0,0,2,0,42,0,0,0,1,0,0,1,0,0,10,0,779,11,0,3,0,34,0,13,2,0,1,2,2,0,5,5,1,705,0,248,0,0,0,0,2,0,1,1,0,713,35,0,0,0,1,1,0,2,0,12,47,4,0,2,1,1,14,2,1
241,4,0,0,39,17,96,0,4,41,0,0,1,1,0,14,0,86,0,5,1,7,0,1,1,1,84,0,0,0,32,4,1,0,0,5,1,1,0,14,2,0,1,670,12,0,4,0,0,2,9,678,0,4,0,0,251,2,2,0,0,0,0,1,1,0,0,0,0,29,1,1,0,1,0,2,2,0,0,10,12,5,1,1,0,3,0,0,90,5,257,252,1749,223,0,1,0,1,13,0
493,173,0,1,0,6,7,0,0,0,58,9,60,181,0,9,0,20,7,2,1,20,0,4,1,0,1,1,5,1,8,5,4,0,1,1,0,0,0,1,0,56,0,3,2,0,0,2,0,1,4,4,1,1160,2,0,1,0,0,1,0,0,4,0,1,1,1,2,0,5,5,0,0,1,0,3,6,0,1,2,1,11,0,64,0,5,0,0,32,1213,1,21,1266,3,2,0,7,20,0,5
0,0,1,6,0,0,0,51,0,0,978,1036,33,46,0,2,0,5,0,0,9,131,1,0,1,0,0,57,0,0,16,3,980,62,0,3,1,2,0,4,11,0,0,376,0,0,0,143,0,55,0,13,0,0,0,0,341,0,0,0,0,0,1,1,0,10,1,1,4,113,45,0,0,1,0,60,1,0,0,1,148,153,5,0,0,0,0,14,0,1,16,1,1,51,0,0,0,2,1,1
5,80,1,1,223,2,8,0,1,14,0,1,0,230,0,0,0,0,0,0,4,92,6,2,0,0,0,81,0,1,1,4,12,1,0,1,1,4,0,1,3,10,1,2,0,1,85,3,0,1,0,0,3,35,0,0,6,0,231,249,0,1691,1,1,0,1763,2,0,0,0,0,1,1,1,0,2,0,0,7,1,4,3,0,0,0,1,0,0,0,0,3,0,80,0,3,0,0,0,27,1
1,0,1,1,1,239,15,0,0,0,0,3,1819,14,1,695,0,0,79,5,4,1,0,32,35,0,226,0,5,0,1,0,0,0,0,0,9,38,0,7,0,34,20,0,1,1,0,0,0,1,1,0,0,98,1,2,0,0,90,0,0,38,2,0,99,0,0,263,6,4,1,5,1,0,0,5,1,0,1,0,1,2,0,1,1,1,4,0,0,101,0,290,3,666,4,1,14,0,4,0
0,5,0,2,0,19,16,0,0,1010,1,1,0,13,0,1,0,8,6,17,370,1,6,1,0,1,2,1,357,1,0,1,0,0,0,0,0,1063,0,2,55,0,0,0,3,0,14,0,0,7,1,0,0,0,1,0,5,4,4,1,0,0,19,137,2,19,133,0,60,377,0,7,0,1,0,0,12,0,10,2,1,1,0,0,0,45,48,0,1,0,0,0,0,0,2,0,6,1052,7,58
2,7,0,0,0,0,0,1024,2,1,52,0,1,56,0,19,0,1,0,0,0,0,7,20,2,0,1,141,1037,0,0,0,18,0,0,0,1,1041,0,2,0,0,1,51,0,0,9,19,0,157,19,1,0,3,61,0,150,1,0,3,1,2,0,1,0,9,0,7,0,8,1,369,7,0,0,0,374,0,2,0,140,0,0,0,0,0,0,0,0,0,3,3,0,121,1,0,0,37,2,2
6,1,0,16,42,19,889,0,0,2,0,0,1,0,0,0,1,2,44,0,42,46,1,1,10,844,0,2,0,0,1,40,4,0,0,0,0,2,0,301,106,1,1,10,1,0,900,0,0,0,15,1,4,0,5,1,0,0,0,2,1,0,146,112,0,107,0,2,851,0,1,6,10,0,0,2,1,0,0,4,1,10,317,0,0,0,3,0,2,0,0,0,0,0,2,0,0,1,37,20
2,1,0,1,7,4,14,31,1,0,0,201,0,1,0,20,0,2,0,0,18,0,12,0,0,0,0,12,1,0,81,1,70,0,0,65,1,59,0,2,4,1,0,5,2,1,0,0,0,5,0,10,0,525,9,1,184,34,0,8,0,7,0,4,1,549,4,3,0,2,0,4,6,1,0,2,3,1,1,0,1,1,167,81,0,1430,0,514,11,8,0,548,2,59,5,0,0,2,1,186
4,0,0,0,38,0,4,1,1,260,0,0,15,33,0,6,1,2,754,295,34,2,12,94,92,0,9,5,3,0,0,11,0,0,0,0,0,5,0,15,6,15,32,1,11,0,268,0,0,11,1,94,0,1,3,0,0,4,0,19,0,0,684,95,9,6,97,15,2,17,4,5,4,0,0,0,4,0,740,2,4,4,0,1,0,2,1,0,42,42,38,14,716,8,276,0,3,2,1,0
155,6,0,22,6,8,61,0,1,1,1,5,2,8,0,5,0,0,0,64,156,0,0,3,0,17,1,4,1159,0,0,0,2,1129,1,0,0,0,0,21,4,3,3,0,2,0,7,2,0,18,0,0,1208,0,0,0,0,0,423,22,0,1,140,6,0,6,0,3,0,0,4,0,0,0,0,2,10,0,2,2,2,1,0,60,0,0,0,0,0,20,0,0,0,1,0,0,157,1,51,1
0,39,0,0,0,0,1,0,2,0,0,7,0,3,0,0,0,12,740,31,752,1,92,0,0,695,7,1,12,0,94,5,5,0,0,0,3,1,0,256,2,12,788,2,740,0,3,99,0,6,0,0,1,16,1,1,2,0,12,1,0,0,14,3,3,1,0,7,37,89,103,8,12,0,0,0,0,1,5,1,18,10,1,0,0,2,5,1,0,2,1,3,1,107,33,0,2,17,39,29
22,0,0,2,1,16,9,0,18,48,1073,0,397,441,0,0,0,1,0,0,0,376,0,0,0,1,0,3,0,0,1,13,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,2,1,392,1,0,0,59,0,0,42,0,1,0,0,444,0,1,0,8,10,1,4,0,0,50,0,0,1,0,0,0,0,0,0,141,6,3,0,0,0,0,56,4,7,0,8,2,155,0,0,1169,0,0
2,4,0,2,0,18,1170,0,0,61,0,1,2,0,0,2,0,0,66,2,1,6,0,0,4,0,14,3,16,1,9,23,6,0,0,8,1112,1,0,8,0,6,4,1152,0,0,0,3,0,0,1,1,0,1,0,1,0,3,46,155,0,0,0,4,0,2,0,0,0,426,1,0,2,0,0,0,1,0,0,0,0,4,151,1,0,56,0,0,0,1,157,163,1,6,0,0,64,24,20,1
1,109,0,0,13,12,0,261,10,0,0,0,1,1,0,711,0,0,2,0,0,0,0,4,0,2,8,89,2,0,10,1,0,0,0,0,0,19,0,0,12,2,37,0,268,1,20,1,0,0,0,0,13,35,0,1,3,14,1,95,0,19,0,1,2,4,0,1,1,0,709,3,0,0,0,294,0,0,0,0,0,39,5,4,0,263,0,0,1,1,741,0,106,780,2,0,0,37,0,228
34,2,0,1,4,1,0,0,9,8,0,0,50,1,0,152,0,65,0,25,31,54,66,11,2,29,8,451,8,0,3,6,24,0,0,0,0,13,0,28,0,0,4,5,5,0,0,1,0,2,3,3,42,1,1,1,0,1,2,479,0,2,1,0,0,2,1,6,5,0,0,1200,1160,0,0,8,9,0,0,0,442,409,0,0,0,15,0,4,0,1,52,20,3,9,2,0,1,7,2,3
1171,4,0,0,0,4,0,0,2,1,0,159,1,3,0,0,0,25,24,0,0,0,0,0,0,0,468,5,3,0,7,0,5,1,1,0,1160,0,1,1,1,417,3,0,3,1,75,0,0,5,2,0,0,27,3,0,7,1,165,56,1,0,3,0,0,1,29,0,0,0,1,59,0,0,0,2,71,0,0,398,3,147,2,9,0,7,0,0,0,5,436,3,1,1,0,0,3,5,1,0
