"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
8,0,1,0,227,2,0,0,4760,2
0,5000,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,5000
0,0,0,0,0,1,0,4999,0,0
0,1332,0,0,21,0,0,0,0,3647
0,0,0,0,0,0,5000,0,0,0
3,4778,0,0,0,0,0,0,219,0
0,5000,0,0,0,0,0,0,0,0
0,0,2,0,4998,0,0,0,0,0
0,0,0,0,0,0,4998,0,0,2
4456,0,0,0,0,544,0,0,0,0
2,9,0,4985,0,0,0,0,4,0
0,0,0,0,0,0,0,0,5000,0
5000,0,0,0,0,0,0,0,0,0
222,0,246,0,4529,0,0,0,3,0
5000,0,0,0,0,0,0,0,0,0
0,0,0,0,5000,0,0,0,0,0
29,464,66,173,475,3473,18,62,71,169
0,4903,0,0,0,0,97,0,0,0
0,0,0,0,0,0,0,0,0,5000
0,0,0,5000,0,0,0,0,0,0
0,0,0,0,0,0,227,4773,0,0
0,1,74,0,0,0,4925,0,0,0
12,0,4872,9,1,49,34,11,2,10
0,0,0,0,0,0,5000,0,0,0
0,0,5000,0,0,0,0,0,0,0
0,0,0,0,0,5000,0,0,0,0
0,0,0,0,0,0,5000,0,0,0
0,0,0,0,0,0,0,0,0,5000
0,0,0,0,0,0,0,5000,0,0
