V49,V4,V85,V75,V3
1,0,0,1,0
0,3,0,0,0
0,0,0,1,1
0,0,0,0,1
0,0,0,0,0
0,5,0,1,0
0,1,0,0,0
0,1009,0,0,0
0,0,0,0,0
1,4,0,1,2
0,0,1,0,1
0,0,0,0,0
0,0,1,0,1
0,0,0,0,0
0,0,0,0,0
1,0,1,0,0
0,14,0,0,0
0,0,0,0,0
0,197,0,1,0
0,0,1,0,0
0,1,0,0,0
0,0,0,0,0
0,1,0,0,1
0,0,0,0,0
0,1,0,0,0
0,0,0,0,0
0,0,1,0,0
0,0,0,0,0
0,0,0,0,0
0,1,1,0,0
0,0,1,1,0
0,3,0,1,0
3,1,1,2,1
2,0,0,0,0
0,0,1,0,0
0,0,0,0,0
0,0,1,0,0
1,1,0,2,1
5,2297,5,4,3
1,1,0,1,0
0,7,1,0,0
0,0,1,0,0
1,2,1,0,0
1,0,0,0,0
0,1,1,0,0
0,4,0,0,0
0,0,0,1,0
1,5,0,1,0
0,1,1,0,0
0,0,0,0,0
0,8,0,0,0
0,53,0,0,0
0,2,0,0,1
0,0,0,0,0
0,65,0,0,0
0,4,0,0,0
0,0,1,0,1
0,0,0,2,0
0,55,0,0,0
0,0,1,0,1
0,11,0,0,0
0,0,2,1,1
0,0,0,0,0
0,0,0,0,0
0,11,1,0,0
0,3,0,1,0
1,3,0,0,0
0,0,0,0,0
0,1,2,1,1
0,2,0,0,0
0,0,0,0,0
2,6,0,0,0
0,94,0,0,0
0,0,0,0,0
1,1,0,0,0
0,0,0,0,0
0,296,0,0,0
0,8,0,0,0
0,0,0,0,0
0,8,0,0,0
1,7,1,0,0
1,0,0,0,0
0,2,1,0,0
0,2,1,0,1
0,0,0,0,0
0,1,0,0,0
0,1,0,1,0
0,0,0,1,0
0,7,1,1,0
0,25,0,0,1
0,190,1,0,1
0,44,1,0,1
0,0,0,1,0
0,0,0,0,0
0,0,0,0,1
0,1,0,0,0
0,0,0,1,0
0,13,0,0,0
1,1,3,1,2
0,155,1,0,0
2,1,1,0,0
0,0,1,0,0
0,1,0,0,0
0,0,0,0,0
0,1,0,0,0
2,1,2,0,1
0,28,0,0,0
1,8,0,0,0
0,4,0,0,0
0,1,0,0,0
0,0,0,0,0
0,0,0,0,0
0,2,0,0,0
0,1,0,0,0
0,0,0,0,0
0,0,0,0,0
1,0,0,0,0
0,0,0,0,0
0,1,0,0,0
1,1,1,1,1
