,metric,abundances
V91,0.894736842105263,2921
V73,0.894736842105263,3030
V1,0.881578947368421,2835
V78,0.881578947368421,2838
V56,0.881578947368421,2764
V57,0.881578947368421,2892
V59,0.881578947368421,2908
V3,0.881578947368421,2879
V63,0.881578947368421,2906
V66,0.881578947368421,2891
V67,0.881578947368421,2945
V69,0.881578947368421,2922
V71,0.881578947368421,2868
V72,0.881578947368421,3040
V74,0.881578947368421,2833
V77,0.881578947368421,2859
V80,0.881578947368421,2872
V53,0.881578947368421,2910
V81,0.881578947368421,2967
V83,0.881578947368421,2969
V86,0.881578947368421,2847
V87,0.881578947368421,2950
V88,0.881578947368421,2995
V89,0.881578947368421,2841
V92,0.881578947368421,2966
V96,0.881578947368421,2899
V97,0.881578947368421,2938
V98,0.881578947368421,2811
V99,0.881578947368421,2868
V100,0.881578947368421,2907
V55,0.881578947368421,2828
V60,0.881578947368421,2869
V52,0.881578947368421,2833
V14,0.881578947368421,2944
V15,0.881578947368421,2914
V18,0.881578947368421,2924
V20,0.881578947368421,2975
V21,0.881578947368421,2973
V22,0.881578947368421,2871
V23,0.881578947368421,2948
V27,0.881578947368421,2879
V10,0.881578947368421,2774
V29,0.881578947368421,2829
V30,0.881578947368421,2863
V9,0.881578947368421,2814
V34,0.881578947368421,2965
V35,0.881578947368421,2824
V37,0.881578947368421,2914
V38,0.881578947368421,2948
V39,0.881578947368421,2901
V40,0.881578947368421,2880
V41,0.881578947368421,2872
V5,0.881578947368421,2915
V42,0.881578947368421,2881
V4,0.881578947368421,3008
V12,0.881578947368421,2901
