V91,V73,V1,V78,V56,V57,V59,V3,V63,V66,V67,V69,V71,V72,V74,V77,V80,V53,V81,V83,V86,V87,V88,V89,V92,V96,V97,V98,V99,V100,V55,V60,V52,V14,V15,V18,V20,V21,V22,V23,V27,V10,V29,V30,V9,V34,V35,V37,V38,V39,V40,V41,V5,V42,V4,V12
40,22,35,30,38,33,37,32,36,35,30,37,34,29,30,32,28,40,30,31,29,41,28,24,23,32,31,29,32,27,38,32,35,25,37,35,29,30,24,27,21,25,18,34,33,37,19,25,32,44,37,39,27,27,29,32
53,54,35,45,42,46,37,43,38,50,43,50,47,40,41,41,41,40,46,48,38,39,43,39,54,49,51,36,53,40,40,47,38,34,50,48,43,48,51,39,44,37,49,39,29,57,42,41,48,40,49,32,62,44,34,52
6,2,1,1,2,4,3,2,3,3,2,2,2,6,3,4,0,4,2,4,3,3,5,4,7,2,2,6,2,2,1,3,3,1,1,3,2,2,3,7,2,5,0,2,4,3,1,2,1,5,5,5,3,0,1,4
46,32,39,35,35,43,49,34,48,46,40,41,54,45,36,35,34,43,35,31,57,41,39,34,41,39,36,31,44,45,49,31,45,47,41,31,48,45,48,45,44,46,57,48,36,41,55,39,37,47,51,36,41,46,43,38
38,43,62,43,48,49,53,53,52,51,45,61,62,37,51,55,48,43,48,45,45,33,49,48,52,44,53,64,59,48,56,50,34,61,44,56,42,49,51,60,43,47,62,47,49,60,49,53,46,64,47,50,46,49,56,52
28,39,40,44,21,34,26,30,26,30,31,34,23,46,32,33,32,32,28,29,34,29,22,37,42,35,36,27,42,33,41,41,41,33,39,30,38,33,30,35,32,31,39,25,37,30,29,39,24,36,35,30,42,37,32,37
0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,2,0,0,0,1,1,0,0,0,0
35,47,54,63,51,53,39,38,52,46,61,43,46,55,40,49,38,39,51,48,43,43,56,33,48,48,47,45,44,48,46,54,47,54,53,50,45,47,48,71,51,38,47,50,40,36,40,39,41,44,51,49,58,52,51,43
0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,1,1,0,2,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,2,0,1,0
39,39,40,38,39,52,39,58,51,39,46,47,46,44,47,36,40,45,41,38,42,38,53,33,40,37,43,28,53,46,49,39,28,41,50,63,44,43,46,34,48,52,35,45,43,52,36,44,46,53,40,47,29,34,43,44
1,0,1,1,3,0,0,1,7,0,1,5,0,0,0,0,3,1,1,0,1,1,2,0,1,0,0,4,0,1,2,3,1,2,0,2,0,2,0,1,0,0,2,0,0,1,1,1,3,0,0,2,0,2,1,4
2,0,0,0,0,0,1,0,0,1,1,0,0,0,2,1,1,0,1,3,0,1,1,1,3,0,1,2,1,0,2,1,0,0,0,0,0,1,1,1,0,0,0,1,1,0,1,0,0,2,0,2,1,1,0,0
0,0,1,1,0,3,1,1,0,2,0,0,0,0,1,2,1,0,0,0,0,0,3,0,1,1,54,0,0,0,0,1,0,1,0,1,35,0,13,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
24,19,15,26,29,29,19,19,21,21,11,15,22,12,21,20,28,22,23,17,20,19,15,18,29,17,15,20,17,21,25,24,22,20,25,18,18,20,16,23,23,24,12,15,24,18,16,21,18,19,16,19,15,19,14,25
