V10,V74
1,0
0,0
2,0
8,0
120,0
0,0
0,0
0,0
2,0
142,2
2,0
6,1
0,0
56,0
555,2
0,0
1,0
1,1
0,0
0,0
7,0
0,0
13,0
0,0
1,0
78,0
2,0
0,0
0,0
8,0
17,0
56,0
19,0
1,0
4,0
2,0
11,0
0,0
1,0
0,0
50,0
0,0
0,0
16,0
3,0
306,0
6,0
232,0
7,0
1,0
0,0
0,0
37,1
0,1
5,0
6,0
5,0
1,0
16,1
12,0
0,0
2,0
43,0
35,0
21,0
0,1
0,0
5,0
11,0
0,0
5,0
8,0
5,0
53,0
40,0
3,0
0,0
56,0
1,0
164,0
0,0
0,0
62,0
141,0
1,0
4,0
2,1
0,0
3,0
0,0
0,0
0,0
0,1
53,1
0,0
1,0
88,1
69,1
0,0
3,0
6,0
1,1
382,2
1,0
1,0
0,0
3,0
13,0
0,0
0,0
10,1
1,0
0,0
0,0
0,0
24,0
0,0
2,0
1,0
0,0
