V61,V49,V3,V74,V30,V40,V96,V35,V67,V46
1,0,0,0,0,0,0,0,3,0
0,0,1,0,0,9,0,0,0,0
0,0,0,0,0,8,0,0,748,0
0,0,0,0,0,1,1,0,0,0
0,0,0,0,0,12,0,0,0,0
0,0,0,0,0,6,0,1,64,0
1,0,0,0,1,1,0,0,0,2
0,0,0,0,0,1128,0,0,4,0
0,0,0,1,1,149,0,0,0,0
0,0,0,0,0,296,0,1,17,0
0,2,0,1,2,1,1,0,0,0
0,0,0,0,0,128,1,0,0,0
0,0,2,1,0,0,0,0,1,0
0,0,0,0,0,0,0,0,4,0
0,0,0,0,0,1,0,0,46,0
0,1,0,0,0,5,0,0,0,0
1,1,1,0,1,0,1,1,37,0
0,0,0,0,0,4,0,0,2,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,1,0,0,2,0
0,0,0,0,0,5,1,0,0,1
0,0,0,0,0,0,0,0,2,1
0,0,1,0,0,0,0,0,2,0
0,0,1,1,0,1,0,0,0,1
0,1,1,0,1,0,0,1,4,0
0,0,0,0,0,1,0,0,7,0
0,0,0,0,0,1,1,1,3,0
0,0,0,0,0,4,0,0,208,1
0,0,0,0,1,0,0,0,22,0
0,0,0,0,0,1,0,0,6,1
0,0,0,0,1,9,1,0,2,0
1,0,0,0,0,0,0,0,7,0
0,0,0,0,0,5,1,0,27,0
0,1,0,0,0,6,0,0,1,0
0,0,0,0,0,56,0,0,17,0
3,2,2,4,1,4,3,2,774,0
1,1,0,1,0,78,0,0,0,0
0,2,2,2,0,3,0,0,2,0
1,0,0,0,0,1,2,0,129,1
0,1,0,0,0,3,1,0,0,1
0,1,0,0,0,1,0,0,11,0
0,0,0,0,1,1,1,0,555,0
0,1,2,0,1,0,1,0,0,0
0,1,0,0,0,1,0,0,1,0
0,0,0,0,0,30,0,0,0,0
0,1,2,0,0,9,0,0,127,0
1,0,1,0,0,50,0,0,0,1
1,1,0,1,0,0,0,0,8,0
0,0,0,0,0,0,0,0,51,1
0,1,0,0,0,1,1,1,1,0
0,0,0,0,0,0,0,0,3,0
0,1,1,0,0,0,0,0,47,1
1,0,0,1,1,3,0,0,1,0
0,0,0,0,1,491,0,0,482,0
0,0,0,0,0,107,0,0,363,0
7,8,7,6,5,1711,4,3,1649,5
0,0,0,0,0,2,0,0,0,0
0,0,1,0,0,41,0,0,0,0
0,0,1,1,0,2,0,0,9,1
0,1,0,0,1,0,0,0,4,0
0,2,0,0,0,22,0,0,77,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,8,0,0,0,1
0,4,0,3,0,127,0,0,11,2
0,0,0,0,0,0,0,1,71,0
0,1,0,0,1,0,0,0,3,0
0,0,0,1,0,4,0,1,1,1
0,0,0,0,0,1,0,0,4,0
0,0,0,0,0,27,0,1,0,0
0,0,0,0,0,0,0,0,3,0
1,1,1,2,1,2,0,0,2,0
0,1,0,0,0,1,1,0,200,0
0,0,0,1,0,0,1,1,0,1
1,0,0,0,0,3,1,0,6,0
1,0,1,0,1,0,0,0,2,1
1,2,2,1,1,1298,0,1,456,1
0,0,0,1,0,0,0,0,1,0
0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,3,0
0,1,0,1,0,0,0,0,4,0
0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,10,0,0,0,0
0,0,0,1,0,32,0,0,11,1
1,0,0,0,0,2,0,0,0,0
0,0,0,0,0,1,0,0,0,0
2,0,0,0,0,0,0,0,1,1
1,0,0,0,0,0,5,2,2116,1
1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,16,0
0,0,0,0,0,1,0,0,17,0
0,0,0,1,0,15,1,0,17,0
1,0,0,0,0,2,0,0,0,0
0,0,0,0,1,0,0,0,0,0
0,1,0,0,0,7,0,0,70,0
0,0,0,0,0,1,0,1,1,0
0,0,0,0,0,0,0,0,2,0
1,0,0,1,0,411,0,0,1,0
0,0,0,0,0,7,1,0,3,0
1,0,1,0,0,0,0,0,67,0
0,0,0,0,0,1,0,0,38,0
0,0,0,1,0,3,0,0,2,0
0,0,0,0,0,963,1,0,2,0
0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0
1,0,0,0,0,0,0,0,1,1
0,0,0,0,0,0,0,0,0,0
1,2,1,0,0,0,0,0,5,0
0,0,1,0,0,0,0,0,2,1
0,0,1,0,2,1,1,2,1,2
0,1,0,0,0,4,1,2,432,0
0,0,1,0,1,64,1,0,0,1
0,0,0,0,0,0,0,0,44,1
0,1,0,2,0,460,0,0,168,0
1,0,0,0,0,1,0,2,1,0
0,1,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,1,2,0,0,0,0,0
0,0,0,0,0,0,1,0,1,0
0,0,1,0,0,0,1,0,1,0
0,1,1,0,0,0,0,0,26,0
