"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
0,0,0.309648264581359,0,0,0,0,0,0,0,0,0.0639267596258591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.260312449508887,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.309648264581359,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0143980628781943,0.0384564975651304,0,0,0.108750111518867,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.173174246500852,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.0703086320923741,0,0.400819685324929,0,0,0,0,0,0,0,0,0,0.112721460069788,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.0703086320923741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.295784094936845,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.400819685324929,0,0,0,0,0,0,0,0,0,0,0,0,-0.000834064318786187,0,0,0,0,0,0,0.204973293169294,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111853280376394,0.36948790800198,0,0
0.0639267596258591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.175796638345901,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.239227641830746,0,0,0.192666217196445,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.0143980628781943,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0229999300687886,0,0,0,0.0195906877566208,0,0,0,0,-0.020925899771126,0.0518806031885238,0,0,0
0,0,0.0384564975651304,0,0,0,0,0,0,0,0,0.175796638345901,0,0,0,0,0.00506760615814755,0.00370922168167975,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0229999300687886,0.00506760615814755,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0438040244137942
0,0,0,0,0,0,0,0,0,-0.000834064318786187,0,0,0,0,0,0.00370922168167975,0,0,0,0,0,0,0,0,0,0,0.128968455232331,0,0.211702404919536,0
0,0,0.108750111518867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.112721460069788,0,0,0.295784094936845,0,0,0,0,0.239227641830746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.173174246500852,0,0,0,0,0,0,0,0,0,0,0.0195906877566208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0.192666217196445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.264419089693537,0,0,0,0
0,0,0,0,0,0,0,0,0,0.204973293169294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.020925899771126,0,0,0,0,0,0,0,0,0.264419089693537,0,0,0,0.155892249217798,0,0
0.260312449508887,0,0,0,0,0,0,0,0,0,0.111853280376394,0,0,0,0.0518806031885238,0,0,0.128968455232331,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.36948790800198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.155892249217798,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.211702404919536,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0438040244137942,0,0,0,0,0,0,0,0,0,0,0,0,0
