,V28,V41,V50,V37,V24,V9,V49,V10,V27,V34,V7,V25
V28,0.0,0.39169252270264665,0.3972913192339568,0.3526571882012479,0.4576015018882926,0.4030109873625304,0.42590959103360526,0.38573935208339827,0.24042359933544988,0.44564692356832447,0.0,0.41101867947432047
V41,0.39169252270264665,0.0,0.0009371006830788398,0.001258081923952492,0.003249399330445546,0.00010058753202746296,0.0009001692970467268,2.8292144691910437e-05,0.02170620616733776,0.0021997522697243532,0.12719979395515968,0.00029108184091364286
V50,0.3972913192339568,0.0009371006830788398,0.0,0.002511717244676137,0.003673106994066866,0.0009477313256742725,0.001567655493789677,0.0010130256336485788,0.02393589217241332,0.002714775514851997,0.14700284504050554,0.0010750497301479367
V37,0.3526571882012479,0.001258081923952492,0.002511717244676137,0.0,0.008542601791959759,0.0020697711190006407,0.004284337525393478,0.0009091332646136152,0.012545672859861634,0.006779332513948688,0.1356957776934491,0.0027586259451920503
V24,0.4576015018882926,0.003249399330445546,0.003673106994066866,0.008542601791959759,0.0,0.0022072036844421605,0.0007296608049250919,0.003883509816495656,0.04157678261989495,0.00010218672521777883,0.11815246733732765,0.0015961702114103415
V9,0.4030109873625304,0.00010058753202746296,0.0009477313256742725,0.0020697711190006407,0.0022072036844421605,0.0,0.00039900025338379663,0.00023556616731390534,0.024743704546551504,0.0013598777803985884,0.12519514431524525,4.9450261474071056e-05
V49,0.42590959103360526,0.0009001692970467268,0.001567655493789677,0.004284337525393478,0.0007296608049250919,0.00039900025338379663,0.0,0.0012475340609020558,0.031377399295221986,0.0002857669699799503,0.1217271571110361,0.00016753049696138778
V10,0.38573935208339827,2.8292144691910437e-05,0.0010130256336485788,0.0009091332646136152,0.003883509816495656,0.00023556616731390534,0.0012475340609020558,0.0,0.020175113555920388,0.002726645907112024,0.1283342298802519,0.0005008486916472377
V27,0.24042359933544988,0.02170620616733776,0.02393589217241332,0.012545672859861634,0.04157678261989495,0.024743704546551504,0.031377399295221986,0.020175113555920388,0.0,0.03759547511476935,0.17671633292275435,0.02699048965924411
V34,0.44564692356832447,0.0021997522697243532,0.002714775514851997,0.006779332513948688,0.00010218672521777883,0.0013598777803985884,0.0002857669699799503,0.002726645907112024,0.03759547511476935,0.0,0.11933970587527087,0.0008908056793276442
V7,0.0,0.12719979395515968,0.14700284504050554,0.1356957776934491,0.11815246733732765,0.12519514431524525,0.1217271571110361,0.1283342298802519,0.17671633292275435,0.11933970587527087,0.0,0.12389451971916965
V25,0.41101867947432047,0.00029108184091364286,0.0010750497301479367,0.0027586259451920503,0.0015961702114103415,4.9450261474071056e-05,0.00016753049696138778,0.0005008486916472377,0.02699048965924411,0.0008908056793276442,0.12389451971916965,0.0
