,V25,V12,V36,V42,V7,V34,V39,V38,V50,V4,V5
V25,0.0,0.0,0.0,0.2699177564210391,0.3917614274337544,0.3072126268368305,0.36525455045799204,0.3333333333333335,0.348437981379335,0.3333333333333335,0.3492271705900425
V12,0.0,0.0,0.0,0.2699177564210391,0.3917614274337544,0.3072126268368305,0.36525455045799204,0.3333333333333335,0.348437981379335,0.3333333333333335,0.3492271705900425
V36,0.0,0.0,0.0,0.2162472794715924,0.2704925043799551,0.2004813443044634,0.23446818417588877,0.19596974779263043,0.21418663875952548,0.19596974779263043,0.21513843675971278
V42,0.2699177564210391,0.2699177564210391,0.2162472794715924,0.0,0.04772701407549074,0.0025993491496685284,0.028674975120259294,0.005162657101196233,0.007874570836942985,0.005162657101196233,0.012295744966765443
V7,0.3917614274337544,0.3917614274337544,0.2704925043799551,0.04772701407549074,0.0,0.038150615315346026,0.06533301016586801,0.03589067149807923,0.046489108819051994,0.03589067149807923,0.0473797502802501
V34,0.3072126268368305,0.3072126268368305,0.2004813443044634,0.0025993491496685284,0.038150615315346026,0.0,0.021550465360105298,0.0006343065289917682,0.00516210873495182,0.0006343065289917682,0.005941368505053224
V39,0.36525455045799204,0.36525455045799204,0.23446818417588877,0.028674975120259294,0.06533301016586801,0.021550465360105298,0.0,0.020042112987777472,0.027233157472996927,0.020042112987777472,0.007596682628009166
V38,0.3333333333333335,0.3333333333333335,0.19596974779263043,0.005162657101196233,0.03589067149807923,0.0006343065289917682,0.020042112987777472,0.0,0.00393392555691463,0.0,0.0047003785494771355
V50,0.348437981379335,0.348437981379335,0.21418663875952548,0.007874570836942985,0.046489108819051994,0.00516210873495182,0.027233157472996927,0.00393392555691463,0.0,0.00393392555691463,0.010909356687812344
V4,0.3333333333333335,0.3333333333333335,0.19596974779263043,0.005162657101196233,0.03589067149807923,0.0006343065289917682,0.020042112987777472,0.0,0.00393392555691463,0.0,0.0047003785494771355
V5,0.3492271705900425,0.3492271705900425,0.21513843675971278,0.012295744966765443,0.0473797502802501,0.005941368505053224,0.007596682628009166,0.0047003785494771355,0.010909356687812344,0.0047003785494771355,0.0
