,V39,V44,V11,V41,V42,V36,V17,V6,V12,V2
V39,0.0,0.0,0.13809569621039508,0.3335222175039093,0.0,0.3482827429269668,0.47836618606419634,0.4049305513427761,0.4049305513427761,0.0
V44,0.0,0.0,0.4570796699563875,0.36754446796632423,0.4136980300220713,0.3442725337240683,0.0,0.0,0.0,0.3523402998114502
V11,0.13809569621039508,0.4570796699563875,0.0,0.047920411928748075,0.21605002317686062,0.05548958340418808,0.0,0.0,0.0,0.0
V41,0.3335222175039093,0.36754446796632423,0.047920411928748075,0.0,0.12354017879778523,0.0012902306283393283,0.0,0.0,0.0,0.0
V42,0.0,0.4136980300220713,0.21605002317686062,0.12354017879778523,0.0,0.1298065818174733,0.0,0.0,0.0,0.0
V36,0.3482827429269668,0.3442725337240683,0.05548958340418808,0.0012902306283393283,0.1298065818174733,0.0,0.0,0.0,0.0,0.0
V17,0.47836618606419634,0.0,0.0,0.0,0.0,0.0,0.0,0.03167033626851157,0.03167033626851157,0.0
V6,0.4049305513427761,0.0,0.0,0.0,0.0,0.0,0.03167033626851157,0.0,1.1102230246251565e-16,0.0
V12,0.4049305513427761,0.0,0.0,0.0,0.0,0.0,0.03167033626851157,1.1102230246251565e-16,0.0,0.0
V2,0.0,0.3523402998114502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
