V25,V30,V37,V5,V24,V9
0,0,0,2,0,0
2,0,1,20,0,0
2,2,2,430,3,3
0,2,0,1,0,1
0,0,0,147,1,0
0,0,0,0,0,0
1,1,0,4,0,0
0,1,0,5,2,1
0,1,1,4,0,0
0,0,0,652,0,0
0,1,0,48,0,1
1,0,0,3,0,0
1,0,0,0,1,0
2,3,0,0,3,1
0,0,2,1,0,0
0,0,1,1,0,0
0,1,0,0,0,0
0,1,0,70,1,0
0,0,0,18,0,0
1,2,4,2,3,2
3,0,0,0,0,1
1,0,1,1,0,0
0,2,0,0,2,0
0,0,0,42,0,0
1,2,1,1,1,1
0,0,0,0,0,1
0,0,0,1,1,0
0,0,0,5,0,1
0,1,0,1094,0,0
0,1,0,0,1,0
1,0,0,58,0,0
0,0,0,2,0,0
1,0,2,630,0,0
1,1,0,461,0,1
0,2,0,2,0,1
0,0,0,2,0,0
3,0,1,48,0,0
0,1,0,2,0,1
0,1,0,0,1,0
0,1,0,0,2,1
2,2,1,121,0,1
1,0,1,43,1,1
1,0,0,0,0,2
2,1,0,279,0,0
1,0,1,1,0,0
0,2,0,2,1,2
1,0,0,2,1,0
0,3,2,12,0,1
0,0,0,0,1,0
1,0,0,1,1,0
1,1,2,108,0,2
0,0,1,2,0,0
0,0,0,0,0,0
0,2,0,1,1,0
0,1,0,1,0,0
0,1,0,0,0,1
1,0,0,3,0,0
0,0,0,68,0,0
1,0,0,185,1,0
1,0,3,7,1,0
0,0,0,418,0,0
1,2,1,1,0,1
0,0,0,1,0,0
1,0,1,71,0,0
1,2,1,0,1,0
0,2,1,0,0,1
0,1,0,0,0,0
0,0,0,13,0,1
0,0,0,39,0,1
8,13,16,2069,27,9
0,1,0,1,0,0
0,0,1,199,2,0
0,1,1,7,0,2
0,0,0,0,0,0
0,0,0,58,0,0
0,1,0,0,0,0
0,0,0,15,1,0
1,0,1,6,0,0
0,1,0,0,0,3
0,0,0,1,0,0
