V32,V35,V24,V37,V9,V30,V25,V23,V6,V4,V8
0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,1,0,2,1,1,0
0,1,0,1,0,0,0,0,0,170,65
0,0,0,0,0,0,0,1,1,1,2
1,0,1,0,0,1,0,0,0,1,0
0,2,0,0,1,0,0,1,2,0,13
3,0,4,2,2,4,12,3,3,1,0
1,0,0,2,0,0,2,2,2,0,1
0,0,1,1,0,1,0,0,0,2,3
1,0,1,0,0,0,0,0,0,1,62
38,1,0,2,1,2,0,101,35,104,2038
50,46,55,40,30,29,37,30,33,36,28
0,1,1,0,0,1,2,0,0,461,8
1,2,0,0,1,1,0,2,1,0,3
0,0,0,1,1,0,0,0,0,0,1
1,1,0,1,1,0,1,0,1,0,0
0,0,0,2,1,3,2,3,1,0,0
1,0,0,0,0,1,0,0,0,1,1
0,1,0,0,1,0,0,0,0,0,8
0,1,0,1,2,0,1,80,0,0,1
0,2,0,0,1,0,0,138,141,1,0
1,2,4,6,2,0,3,5,2,5,1
0,0,0,1,0,0,1,0,0,122,0
0,0,0,2,1,0,0,0,0,1,0
1,3,2,3,2,7,4,7,3,3,4
1,7,3,2,3,1,1,6,2,17,3
1,2,1,0,1,1,0,0,2,90,3
0,0,1,0,0,0,0,69,1,418,0
0,0,0,0,0,0,0,0,0,0,17
2,0,0,0,0,0,0,52,0,0,0
26,14,17,22,21,22,16,22,28,14,23
6,4,4,4,4,4,3,2,6,2,6
0,0,0,0,0,2,1,0,0,1,1
20,3,1,0,1,2,0,1,0,5,5
1,0,2,0,0,1,1,21,0,0,8
7,5,5,2,4,5,3,7,1,5,6
2,0,1,1,0,1,0,5,0,2,2
1,0,0,0,0,0,0,0,0,0,0
0,1,1,2,1,0,0,0,0,2,3
5,4,7,1,2,4,4,6,1,4,2
1,1,3,2,1,0,0,3,0,2,1
4,0,0,0,1,0,0,7,0,0,1
16,8,0,1,0,0,0,144,1,1,1
2,2,4,1,4,1,2,3,4,0,2
2,1,2,2,3,1,1,1,0,2,2
0,0,1,0,0,0,0,0,0,4,4
0,1,0,0,0,0,1,1,1,2,0
1,1,0,0,0,0,0,0,1,1,0
3,2,2,0,3,1,3,2,0,4,7
3,0,0,1,0,1,1,0,1,3,6
3,3,2,5,3,2,1,5,4,7,5
0,0,0,1,3,0,0,2,1,534,0
2,2,2,0,4,2,4,4,1,3,0
6,5,4,1,6,1,4,3,4,7,4
1,0,0,2,0,1,0,1,0,0,1
1,0,0,0,2,0,0,1,2,1,0
0,2,1,0,2,0,0,0,2,0,0
1,1,1,1,3,0,1,0,0,20,3
1,0,0,1,0,1,0,143,0,1,10
1,46,0,0,0,0,0,359,53,1089,18
0,0,2,1,1,0,3,2,2,1,0
1,0,0,2,0,1,1,0,2,1,2
0,0,1,0,1,0,0,1,3,44,0
15,2,0,0,0,0,0,6,0,282,38
0,0,0,0,1,0,0,1,0,38,1
1,1,0,0,1,0,0,0,1,0,0
0,5,0,0,2,1,0,0,0,6,39
2,1,0,0,1,0,0,0,0,461,0
4,3,3,1,2,2,4,2,1,0,1
0,4,0,2,0,2,0,2,2,0,3
1,2,0,0,0,1,1,0,1,0,2
0,4,2,4,2,4,2,1,4,7,1
7,0,0,0,1,0,0,0,1,0,116
4,3,2,4,6,4,2,3,3,12,2
1,1,0,0,2,1,2,1,0,0,1
2,1,0,0,0,0,0,0,1,1,2
1,1,2,1,2,0,2,3,1,3,1
2,0,0,1,2,2,0,4,2,45,0
6,5,6,10,5,10,2,72,5,9,443
2,3,6,3,3,5,3,3,3,5,1
