,metric,abundances
V15,1.1052631578947367,158
V39,1.1052631578947367,140
V10,1.1052631578947367,203
V34,1.1052631578947367,145
V7,1.1052631578947367,170
V47,1.1052631578947367,170
V35,1.1052631578947367,166
V37,1.1052631578947367,173
V23,1.1052631578947367,154
V11,1.1052631578947367,158
V4,1.1052631578947367,173
V8,1.1052631578947367,154
V24,1.1052631578947367,161
V29,1.1052631578947367,166
V27,1.1052631578947367,157
V1,1.1052631578947367,169
V36,1.1052631578947367,144
V9,1.1052631578947367,190
V25,1.1052631578947367,176
V50,1.1052631578947367,178
