,V15,V39,V10,V34,V7,V47,V35,V37,V23,V11,V4,V8,V24,V29,V27,V1,V36,V9,V25,V50
V15,0.0,0.026008757582437037,0.0979235602309535,0.026440322715582387,0.07975237130447699,0.05621108583003209,0.04666720069053043,0.022697499419853773,0.04738808094752356,0.01817263331857022,0.040460766773938284,0.022498909597595484,0.015549942888814727,0.015923853762180307,0.0235958324914447,0.04086371041812065,0.03056684723442582,0.026630871797827083,0.006423701296053075,0.032962125555820454
V39,0.026008757582437037,0.0,0.13458787943073347,0.027691494274595718,0.09651525106849934,0.04818178475295798,0.10810414656766842,0.07383967770247202,0.08147228183188393,0.05453947526601022,0.0903635351061598,0.04420277708625864,0.04660442216458682,0.02235312054424432,0.05788585068946461,0.06023896383986482,0.08221621382060162,0.038137611404756466,0.03495492651449683,0.06255035177986878
V10,0.0979235602309535,0.13458787943073347,0.0,0.11434009159227987,0.005653771190176182,0.08801552878237506,0.04957121623034577,0.05381971748818393,0.051650003302717185,0.04902653141905455,0.059347777842166716,0.033939195324650506,0.07033433710343773,0.060929937798327116,0.05387397613135614,0.08161235413521084,0.06753261769141583,0.07050449382054591,0.08510335320505213,0.042056902080030434
V34,0.026440322715582387,0.027691494274595718,0.11434009159227987,0.0,0.08563602431036643,0.04290218031729376,0.07279272713538332,0.04979588788335576,0.06093900774748395,0.03338287496220249,0.05359250156214479,0.03435444507548813,0.04195208929136274,0.03223413006469866,0.04133275822841409,0.04098340216676488,0.07593651549205038,0.030177767057627647,0.01953423479295091,0.06441459082000145
V7,0.07975237130447699,0.09651525106849934,0.005653771190176182,0.08563602431036643,0.0,0.05596416731365461,0.04874199396823997,0.048089587685887,0.03881060656433788,0.0375911637103683,0.0516219547188046,0.020463947520371284,0.05435431158004311,0.03867257807111779,0.04056130733040364,0.05879218071784709,0.06107381141564572,0.046506961821028536,0.06697362142810492,0.030644013249768065
V47,0.05621108583003209,0.04818178475295798,0.08801552878237506,0.04290218031729376,0.05596416731365461,0.0,0.05077209900337343,0.043998495113403924,0.019352163945470346,0.029480972519120074,0.03406143632693892,0.027541159209766186,0.02637919456697646,0.020858626840918326,0.022615251099346256,0.007920304116695642,0.04900148365201362,0.006996979116805857,0.033839632458838254,0.02863907589808845
V35,0.04666720069053043,0.10810414656766842,0.04957121623034577,0.07279272713538332,0.04874199396823997,0.05077209900337343,0.0,0.004581922253453996,0.009029337904619017,0.010080708546271966,0.0030317143743505692,0.02239075997381612,0.016482999654428898,0.038568173685841645,0.008861125423211713,0.023091814046236725,0.009615397480155163,0.02703583154997824,0.027365249636209232,0.015853997244123175
V37,0.022697499419853773,0.07383967770247202,0.05381971748818393,0.04979588788335576,0.048089587685887,0.043998495113403924,0.004581922253453996,0.0,0.011422543015491282,0.0028300582568042687,0.005101227218241244,0.012320323160489366,0.006189860924709745,0.02161742175063408,0.0037325311123213023,0.01988913562098238,0.0058836237873453046,0.01775915683807927,0.011279169345073337,0.010691690289370337
V23,0.04738808094752356,0.08147228183188393,0.051650003302717185,0.06093900774748395,0.03881060656433788,0.019352163945470346,0.009029337904619017,0.011422543015491282,0.0,0.00960977253587747,0.005276051585560215,0.015426950235674752,0.01103744591616862,0.02285098220090731,0.004376457081741725,0.006463504506380002,0.013384475715129684,0.009468001054593334,0.024993814858044194,0.008145512186425563
V11,0.01817263331857022,0.05453947526601022,0.04902653141905455,0.03338287496220249,0.0375911637103683,0.029480972519120074,0.010080708546271966,0.0028300582568042687,0.00960977253587747,0.0,0.006749834473129712,0.004901918634519609,0.005007261579212385,0.012062462976188515,0.0016032783419154262,0.013477825628081419,0.012063812281387865,0.008954349342934376,0.0070319559815373855,0.009373320035358845
V4,0.040460766773938284,0.0903635351061598,0.059347777842166716,0.05359250156214479,0.0516219547188046,0.03406143632693892,0.0030317143743505692,0.005101227218241244,0.005276051585560215,0.006749834473129712,0.0,0.01895098717658439,0.011970260149384182,0.030960633070323706,0.00493838122757706,0.01116457912850033,0.01275158901883744,0.016022445970473864,0.018439560527921284,0.016156184086943193
