"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
0,0,0,0,0,0,0,0,0,0.150098718243556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.586846004471433,0,0,0,0,0,0,0,0,0,0,0,0,0.68514169911798,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0176093194537568,0,0,0,0,0,0,0,0,0.049499150998507,0.570024395826936,0,0.225267718076184,0,0
0,0,0,0.368434941445118,0.247557291037885,0,0,0.191629129253469,0,0,0,0,0,0,0,0,0.368434939121659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22114595487353,0,0,0,0,0
0,0,0.368434941445118,0,0.248446074475102,0,0,0.192574832465786,0,0,0,0,0,0,0,0,0.367220682101835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222379384871178,0,0,0,0,0
0,0,0.247557291037885,0.248446074475102,0,0,0,0,0,0,0,0,0,0,0,0,0.244805312174152,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00410919064968016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105735905582974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.131043514387722,0,0,0,0,0,0,0,0,0,0.59947545487978,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0173646389402503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.153357262691356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.191629129253469,0.192574832465786,0,0,0,0,0,0,0.273450216440018,0,0,0,0,0,0.188491449493564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0476540178684598,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.150098718243556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.584084393557246,0,0,0,0.728709163107669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.169625204674656,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.273450216440018,0,0,0,0,0,0,0,0,0,-0.0718439471841283,0,0,0.254499193813881,0,0,0,0,0,0.521672079924787,0,0,0,-0.0145652725753137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0446141536598059,0,0,0,0,0,0,0,0,0,0,0,0,-0.0137212946653456,0,0,0,0,0,0,0,-0.116192021793807,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.356194990897485,0,0,0,0,0,0,0,0,0,0,0,0.394501880310771,0,0,0,0,0,0,0,0,0.00983572954121473,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0258762063246154,0,0,0,0,0,0,0,0,0,0,0,0,-0.0639187084837271,0,0,0,0,0,0,0,-0.0233977499762721,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0.356194990897485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.174435040610658,0,0,0,0,0,0.286622354696619,0.245809260122574,0,0,0
0,0,0,0,0,0,0.0173646389402503,0,0,0,0,0,0,0,0,0,0,-0.0711493569763665,0,0,0.146083969172304,0,0,0,0,0,0,0,0,0,-0.126077100238596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.368434939121659,0.367220682101835,0.244805312174152,0,0,0.188491449493564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.218612374187226,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,-0.0718439471841283,-0.0446141536598059,0,-0.0258762063246154,0,-0.0711493569763665,0,0,0,0,0,-0.110878679986881,0,0,0,0,0,0,0,0,0,0,-0.0446141509727742,0,0,0.621170696722606,0,0,0,0,0,0,0,0,0,0,-0.0532336958769971,0,0,0
0,0,0,0,0,0.105735905582974,0,0,0,0.584084393557246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.274917203010378,0,0,0,0,0,0,0,0,0,0,0,0
