megahit_51385,megahit_656275,megahit_681418,megahit_3265639,megahit_532249,megahit_1209995,megahit_440428,megahit_1200253,megahit_184318,megahit_2863465
2002,4030,252,101,924,0,1095,703,0,2
310,664,61,93,132,0,194,36,2,2
54,43,4,0,0,12,4,1,20,14
86,145,14,10,34,2,31,18,0,2
20,28,2,0,4,124,20,0,136,124
16,18,2,2,2,174,12,0,112,102
12,6,0,0,0,6,6,2,8,16
2376,5403,286,148,927,0,1433,179,0,1
622,1194,154,177,229,0,329,46,4,4
94,170,56,18,68,0,32,85,0,0
60,132,12,6,28,4,30,16,6,6
28,48,7,4,6,62,13,6,8,10
