megahit_2920009,megahit_1768261,megahit_2574079,megahit_1789066,megahit_1213354,megahit_2236144,megahit_3018502,megahit_878698,megahit_1328419,megahit_920992,megahit_3054442,megahit_3173320
0,0,0,500,331,0,343,1613,0,556,2149,187
2,0,8,62,22,0,30,169,0,58,202,30
14,20,40,4,0,34,0,14,4,6,10,0
0,0,0,6,0,0,0,42,0,2,34,0
25,32,60,4,0,54,0,24,24,0,18,0
26,34,80,0,6,70,0,26,23,2,14,0
8,6,24,2,0,15,0,6,0,0,14,0
0,0,0,243,155,0,145,815,0,244,987,101
4,0,6,82,44,0,52,212,0,68,293,28
0,0,0,94,66,0,60,380,0,98,400,66
4,0,6,46,20,2,28,103,0,34,124,14
0,0,4,10,0,0,0,34,10,2,48,0
