megahit_610033,megahit_1853785,megahit_2013094,megahit_114652,megahit_1317643,megahit_2806780,megahit_275827,megahit_902791,megahit_3296524,megahit_948994,megahit_421846,megahit_374698,megahit_2158663
0,2,0,2025,228,451,602,626,0,209,307,244,119
0,0,0,148,38,64,26,82,0,27,66,64,24
68,14,134,22,0,0,0,0,14,0,0,0,0
2,2,2,34,6,4,2,10,4,2,4,6,2
88,122,58,16,0,0,0,0,78,0,0,0,0
14,147,92,18,0,0,0,0,84,0,0,0,0
28,7,42,16,0,0,0,0,12,0,0,0,0
0,0,0,749,258,558,154,271,0,181,300,230,75
0,0,0,196,132,169,62,66,0,110,114,123,28
0,0,0,154,16,24,50,36,0,18,44,18,14
2,2,2,48,12,14,20,24,0,8,8,14,10
2,2,2,34,3,2,6,2,12,2,2,2,2
