,megahit_1897738,megahit_3296524,megahit_681454,megahit_3520189,megahit_3200909,megahit_3216920,megahit_889283,megahit_2598734,megahit_796664,megahit_489563,megahit_2130674,megahit_2375963,megahit_2967254,megahit_2919764,megahit_3536822
megahit_1897738,0.0,0.07351040009970744,0.0792679883195635,0.10740636107166934,0.07259732520445128,0.10166879463281253,0.10166879463281253,0.10166879463281253,0.10166879463281253,0.10166879463281253,0.10166879463281253,0.10166879463281253,0.10166879463281253,0.10166879463281253,0.10166879463281253
megahit_3296524,0.07351040009970744,0.0,0.014066545182721102,0.018000000000000016,0.042175083103090705,0.013970091691087982,0.013970091691087982,0.013970091691087982,0.013970091691087982,0.013970091691087982,0.013970091691087982,0.013970091691087982,0.013970091691087982,0.013970091691087982,0.013970091691087982
megahit_681454,0.0792679883195635,0.014066545182721102,0.0,0.03821185428028717,0.05978376149828735,0.03209729138819706,0.03209729138819706,0.03209729138819706,0.03209729138819706,0.03209729138819706,0.03209729138819706,0.03209729138819706,0.03209729138819706,0.03209729138819706,0.03209729138819706
megahit_3520189,0.10740636107166934,0.018000000000000016,0.03821185428028717,0.0,0.0305415820881485,0.0019940199302510564,0.0019940199302510564,0.0019940199302510564,0.0019940199302510564,0.0019940199302510564,0.0019940199302510564,0.0019940199302510564,0.0019940199302510564,0.0019940199302510564,0.0019940199302510564
megahit_3200909,0.07259732520445128,0.042175083103090705,0.05978376149828735,0.0305415820881485,0.0,0.02860460030099421,0.02860460030099421,0.02860460030099421,0.02860460030099421,0.02860460030099421,0.02860460030099421,0.02860460030099421,0.02860460030099421,0.02860460030099421,0.02860460030099421
megahit_3216920,0.10166879463281253,0.013970091691087982,0.03209729138819706,0.0019940199302510564,0.02860460030099421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
megahit_889283,0.10166879463281253,0.013970091691087982,0.03209729138819706,0.0019940199302510564,0.02860460030099421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
megahit_2598734,0.10166879463281253,0.013970091691087982,0.03209729138819706,0.0019940199302510564,0.02860460030099421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
megahit_796664,0.10166879463281253,0.013970091691087982,0.03209729138819706,0.0019940199302510564,0.02860460030099421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
megahit_489563,0.10166879463281253,0.013970091691087982,0.03209729138819706,0.0019940199302510564,0.02860460030099421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
megahit_2130674,0.10166879463281253,0.013970091691087982,0.03209729138819706,0.0019940199302510564,0.02860460030099421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
megahit_2375963,0.10166879463281253,0.013970091691087982,0.03209729138819706,0.0019940199302510564,0.02860460030099421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
megahit_2967254,0.10166879463281253,0.013970091691087982,0.03209729138819706,0.0019940199302510564,0.02860460030099421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
megahit_2919764,0.10166879463281253,0.013970091691087982,0.03209729138819706,0.0019940199302510564,0.02860460030099421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
megahit_3536822,0.10166879463281253,0.013970091691087982,0.03209729138819706,0.0019940199302510564,0.02860460030099421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
