,metric,abundances
megahit_1897738,0.49724205061648274,3171
megahit_3296524,0.48913043478260865,204
megahit_681454,0.4850746268656716,220
megahit_3520189,0.48312783906554185,1551
megahit_3200909,0.48182998053212195,854
megahit_3216920,0.48036988968202465,770
megahit_889283,0.48036988968202465,476
megahit_2598734,0.48036988968202465,290
megahit_796664,0.48036988968202465,1161
megahit_489563,0.48036988968202465,784
megahit_2130674,0.48036988968202465,553
megahit_2375963,0.48036988968202465,692
megahit_2967254,0.48036988968202465,409
megahit_2919764,0.48036988968202465,331
megahit_3536822,0.48036988968202465,337
