megahit_1897738,megahit_3296524,megahit_681454,megahit_3520189,megahit_3200909,megahit_3216920,megahit_889283,megahit_2598734,megahit_796664,megahit_489563,megahit_2130674,megahit_2375963,megahit_2967254,megahit_2919764,megahit_3536822
1969,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,14,10,8,20,14,8,16,22,20,16,8,10,8,12
6,4,2,4,6,2,2,6,8,8,2,2,2,4,6
0,78,130,440,290,256,184,96,404,226,194,232,162,100,110
0,84,74,1079,414,394,202,134,518,374,218,312,180,147,145
2,12,2,8,12,12,6,8,14,12,10,6,6,6,8
630,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,0,0,0,4,0,0,0,0,0,0,0,0,0,0
4,12,2,12,108,92,74,30,195,144,113,132,49,66,56
