megahit_2893366,megahit_590713,megahit_2655517,megahit_3546505,megahit_2881681,megahit_3250936,megahit_1451119,megahit_1100686,megahit_1565308,megahit_774373,megahit_827488
67,142,92,40,56,82,52,56,275,268,84
24,46,44,41,12,4,6,22,96,90,6
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
48,141,86,132,4,4,6,102,260,244,6
96,172,126,150,12,6,14,127,324,289,6
20,24,46,20,38,8,4,26,14,22,32
8,22,12,20,10,4,4,4,44,40,4
0,0,0,0,0,0,0,0,0,0,0
