,megahit_2059060,megahit_2321539,megahit_2490451,megahit_1359610,megahit_2203198,megahit_3498916,megahit_2516098,megahit_684592,megahit_731677,megahit_1266385,megahit_1485277,megahit_2488381
megahit_2059060,0.0,0.0,0.0,0.02941176470588236,0.02941176470588236,0.02941176470588236,0.05882352941176472,0.05882352941176472,0.05882352941176472,0.05882352941176472,0.05882352941176472,0.05882352941176472
megahit_2321539,0.0,0.0,0.0,0.02941176470588236,0.02941176470588236,0.02941176470588236,0.05882352941176472,0.05882352941176472,0.05882352941176472,0.05882352941176472,0.05882352941176472,0.05882352941176472
megahit_2490451,0.0,0.0,0.0,0.02941176470588236,0.02941176470588236,0.02941176470588236,0.05882352941176472,0.05882352941176472,0.05882352941176472,0.05882352941176472,0.05882352941176472,0.05882352941176472
megahit_1359610,0.02941176470588236,0.02941176470588236,0.02941176470588236,0.0,0.0,0.0,0.02941176470588236,0.02941176470588236,0.02941176470588236,0.02941176470588236,0.02941176470588236,0.02941176470588236
megahit_2203198,0.02941176470588236,0.02941176470588236,0.02941176470588236,0.0,0.0,0.0,0.02941176470588236,0.02941176470588236,0.02941176470588236,0.02941176470588236,0.02941176470588236,0.02941176470588236
megahit_3498916,0.02941176470588236,0.02941176470588236,0.02941176470588236,0.0,0.0,0.0,0.02941176470588236,0.02941176470588236,0.02941176470588236,0.02941176470588236,0.02941176470588236,0.02941176470588236
megahit_2516098,0.05882352941176472,0.05882352941176472,0.05882352941176472,0.02941176470588236,0.02941176470588236,0.02941176470588236,0.0,0.0,0.0,0.0,0.0,0.0
megahit_684592,0.05882352941176472,0.05882352941176472,0.05882352941176472,0.02941176470588236,0.02941176470588236,0.02941176470588236,0.0,0.0,0.0,0.0,0.0,0.0
megahit_731677,0.05882352941176472,0.05882352941176472,0.05882352941176472,0.02941176470588236,0.02941176470588236,0.02941176470588236,0.0,0.0,0.0,0.0,0.0,0.0
megahit_1266385,0.05882352941176472,0.05882352941176472,0.05882352941176472,0.02941176470588236,0.02941176470588236,0.02941176470588236,0.0,0.0,0.0,0.0,0.0,0.0
megahit_1485277,0.05882352941176472,0.05882352941176472,0.05882352941176472,0.02941176470588236,0.02941176470588236,0.02941176470588236,0.0,0.0,0.0,0.0,0.0,0.0
megahit_2488381,0.05882352941176472,0.05882352941176472,0.05882352941176472,0.02941176470588236,0.02941176470588236,0.02941176470588236,0.0,0.0,0.0,0.0,0.0,0.0
