megahit_2059060,megahit_2321539,megahit_2490451,megahit_1359610,megahit_2203198,megahit_3498916,megahit_2516098,megahit_684592,megahit_731677,megahit_1266385,megahit_1485277,megahit_2488381
310,406,58,140,478,166,85,80,139,72,204,120
16,22,2,8,30,9,4,2,6,4,12,12
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
143,168,20,87,88,87,26,22,37,26,92,45
40,34,12,32,52,30,10,4,10,8,18,16
22,30,6,32,52,30,22,12,16,12,20,38
16,22,2,6,22,4,4,2,6,4,12,12
0,0,0,0,0,0,0,0,0,0,0,0
