V1,V2,V3,V4,V5,V6,V7,V8,V9,V10
0.53,0.4,0.52,0.49,0.46,0.45,0.48,0.53,0.5,0.64
0.4,0.55,0.56,0.47,0.53,0.5,0.56,0.39,0.6,0.48
0.52,0.56,0.47,0.49,0.56,0.51,0.51,0.48,0.45,0.48
0.49,0.47,0.49,0.53,0.46,0.46,0.49,0.39,0.53,0.55
0.46,0.53,0.56,0.46,0.58,0.53,0.6,0.5,0.57,0.48
0.45,0.5,0.51,0.46,0.53,0.53,0.51,0.51,0.45,0.56
0.48,0.56,0.51,0.49,0.6,0.51,0.46,0.46,0.5,0.53
0.53,0.39,0.48,0.39,0.5,0.51,0.46,0.46,0.45,0.58
0.5,0.6,0.45,0.53,0.57,0.45,0.5,0.45,0.51,0.44
0.64,0.48,0.48,0.55,0.48,0.56,0.53,0.58,0.44,0.45
